title,url,author,date
Пробовали писать код с закрытыми глазами? Я делаю это всю жизнь: 32 вопроса незрячему программисту,https://habr.com/ru/users/denis_skripnik/,denis_skripnik,2025-10-30 20:12:00
"Зарабатываем, открывая позиции против трейдеров на bybit",https://habr.com/ru/users/negrbluad/,negrbluad,2025-10-30 19:59:00
Анализ EEG-датасетов с Kaggle: от сигнала до ML-модели,https://habr.com/ru/users/GenomeDust/,GenomeDust,2025-10-30 19:06:00
"Битрикс, PHP CS Fixer, Rector, PHPStan",https://habr.com/ru/users/ilimurzin/,ilimurzin,2025-10-30 18:51:00
Еще один самодельный компьютер. Coolsystem — Часть 1,https://habr.com/ru/users/nikhotmsk/,nikhotmsk,2025-10-30 17:57:00
Atomic — свежий взгляд на разработку игр Unity и C#,https://habr.com/ru/users/StarKRE/,StarKRE,2025-10-30 17:26:00
Автоматический выбор версии NVIDIA драйвера при загрузке Linux дистрибутива PocketHandyBox,https://habr.com/ru/users/gumanzoy/,gumanzoy,2025-10-30 17:22:00
Как я изобрел новый способ аутентификации и связь через свет: Ligthprint,https://habr.com/ru/users/Flayt_334/,Flayt_334,2025-10-30 17:19:00
Поговорим о продвинутых техниках NLP,https://habr.com/ru/users/Andrey_Biryukov/,Andrey_Biryukov,2025-10-30 17:05:00
"Усы, лапы и хвост – вот мои документы",https://habr.com/ru/users/stas_makarov/,stas_makarov,2025-10-30 17:03:00
